origin,orig_region,destination,dest_region,"1990","1995","2000","2005","2010","2015","2020",1990.1,1995.1,2000.1,2005.1,2010.1,2015.1,2020.1,1990.2,1995.2,2000.2,2005.2,2010.2,2015.2,2020.2,dest_subregion,orig_subregion
Argentina,Latin America and the Caribbean,Brazil,Latin America and the Caribbean,28350,27974,27597,28410,28819,33971,36910,15178,15391,15603,16308,16767,19662,21754,13172,12583,11994,12102,12052,14309,15156,South America,South America
Argentina,Latin America and the Caribbean,Panama,Latin America and the Caribbean,580,667,796,1350,2179,2550,3062,304,352,420,728,1196,1397,1729,276,315,376,622,983,1153,1333,Central America,South America
Argentina,Latin America and the Caribbean,Paraguay,Latin America and the Caribbean,50447,57525,64404,61353,58456,57056,61833,25066,28910,32483,30947,29425,28685,31162,25381,28615,31921,30406,29031,28371,30671,South America,South America
Argentina,Latin America and the Caribbean,Mexico,Latin America and the Caribbean,4340,5366,6625,9831,14174,15214,16688,2142,2662,3312,5088,7461,7787,8638,2198,2704,3313,4743,6713,7427,8050,Central America,South America
Argentina,Latin America and the Caribbean,Bolivia,Latin America and the Caribbean,21923,25141,28095,32418,36671,42697,47601,10684,12434,14043,16402,18729,21804,24260,11239,12707,14052,16016,17942,20893,23341,South America,South America
Argentina,Latin America and the Caribbean,Puerto Rico,Latin America and the Caribbean,1234,1245,1259,1402,1369,1180,828,584,591,598,664,642,551,386,650,654,661,738,727,629,442,Caribbean,South America
Argentina,Latin America and the Caribbean,Uruguay,Latin America and the Caribbean,14559,17970,21691,25992,26782,27662,33022,5658,7292,9589,11491,11706,12086,14856,8901,10678,12102,14501,15076,15576,18166,South America,South America
Argentina,Latin America and the Caribbean,Bahamas,Latin America and the Caribbean,8,8,9,56,102,111,117,4,3,3,35,67,73,78,4,5,6,21,35,38,39,Caribbean,South America
Argentina,Latin America and the Caribbean,Guatemala,Latin America and the Caribbean,285,318,350,416,482,529,595,122,159,195,246,297,330,371,163,159,155,170,185,199,224,Central America,South America
Argentina,Latin America and the Caribbean,Curaçao,Latin America and the Caribbean,0,0,0,0,21,21,24,0,0,0,0,7,7,9,0,0,0,0,14,14,15,Caribbean,South America
Argentina,Latin America and the Caribbean,Nicaragua,Latin America and the Caribbean,185,147,188,235,251,270,281,105,83,101,121,130,141,147,80,64,87,114,121,129,134,Central America,South America
Argentina,Latin America and the Caribbean,El Salvador,Latin America and the Caribbean,255,211,166,187,207,216,218,143,120,97,112,126,132,133,112,91,69,75,81,84,85,Central America,South America
Argentina,Latin America and the Caribbean,Cayman Islands,Latin America and the Caribbean,3,7,13,12,12,12,12,2,3,5,5,4,5,4,1,4,8,7,8,7,8,Caribbean,South America
Argentina,Latin America and the Caribbean,Honduras,Latin America and the Caribbean,145,144,142,139,136,191,194,84,81,78,77,77,109,111,61,63,64,62,59,82,83,Central America,South America
Argentina,Latin America and the Caribbean,Haiti,Latin America and the Caribbean,466,442,419,398,417,437,456,267,253,240,228,239,251,263,199,189,179,170,178,186,193,Caribbean,South America
Argentina,Latin America and the Caribbean,Falkland Islands (Malvinas),Latin America and the Caribbean,27,36,39,55,24,26,31,11,21,24,32,12,13,17,16,15,15,23,12,13,14,South America,South America
Argentina,Latin America and the Caribbean,Cuba,Latin America and the Caribbean,373,283,190,134,90,58,35,192,140,87,58,35,21,12,181,143,103,76,55,37,23,Caribbean,South America
